,ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL_3,CEP_PROFISSIONAL_3,ROTULO_ALVO_MAU=1
23,25,C,10,0,0,1,F,5,0,0,PB,JOAO PESSOA,1,PB,JOAO PESSOA,MANDACARU,Y,103,1.0,3.0,N,0,865.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PB,JOAO PESSOA,CENTRO,Y,103,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,47,580,580,0
24,26,C,10,Web,0,1,F,2,0,0,CE,juazeiro,1,CE,juazeiro,triangulo,Y,112,1.0,1.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,5.0,,,0,0,0,0,2,N,42,630,630,0
25,27,C,25,0,0,1,F,2,1,0,SP,LENCOIS PAULISTA,1,SP,LENCOIS PAULISTA,CAJU II,Y,12,1.0,2.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,0.0,0.0,0.0,0.0,0,0,0,0,2,N,30,186,186,0
26,28,C,10,0,0,1,F,1,0,0,MA,Bacabal,1,MA,Sao Luis,Bom Jesus,Y,125,1.0,5.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,26,650,650,1
27,29,C,5,Web,0,1,F,1,0,0,SP,sao paulo,1,SP,Sao Paulo,Conjunto Habitacional Barro Branco II,Y,5,1.0,3.0,N,1,1500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,Y,5,0,,,,,0,0,0,0,1,N,32,847,847,0
28,30,C,15,0,0,1,M,2,0,0, , ,0,CE,CAUCAIA,ITAMBE,Y,107,2.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,CAUCAIA,VILA GOES,Y,107,0,11.0,2.0,11.0,0.0,0,0,0,0,1,N,58,616,616,0
29,31,C,10,Web,0,1,M,2,0,0,MA,TUTOIA,1,CE,FORTALEZA,VILA VELHA,Y,107,1.0,10.0,N,1,278.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,2.0,1.0,,,0,0,0,0,1,N,60,603,603,0
30,32,C,25,0,0,1,F,1,1,0,BA,SOUTO SOARES,1,SP,SAO PAULO,PARQUE FERNANDA,Y,5,1.0,2.0,N,1,387.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Sao Bernardo do Campo,Pauliceia,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,586,586,1
31,33,C,15,Web,0,1,F,3,1,0,BA,CARAVELAS,1,BA,TEIXEIRA DE FREITAS,LIBERDADE,N, ,1.0,1.0,N,1,246.98,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,1.0,,,0,0,0,0,1,N,48,459,459,0
32,34,C,10,0,0,1,M,7,1,0,RS,PELOTAS,1,RS,Capao do Leao,Jardim America,Y,58,1.0,3.0,N,0,1262.0,0.0,0,1,0,0,0,0,0,80.0,1,N, ,,,N, ,0,9.0,1.0,0.0,0.0,0,0,0,0,1,N,56,961,961,0
33,35,C,5,Web,0,1,F,2,0,0,CE,FORTALEZA,1,CE,FORTALEZA,JA NGURUSSU,Y,107,1.0,14.0,N,1,1100.0,0.0,1,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,2.0,4.0,,,0,0,0,0,1,N,49,600,600,1
34,36,C,5,Web,0,1,F,4,1,0,PA,VIGIA,1,PA,BELEM,GUAMA,N, ,1.0,16.0,N,1,360.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,1.0,,,0,0,0,0,1,N,71,660,660,0
35,37,C,20,Web,0,1,M,2,0,0,RN,MOSSORO,1,RN,Mossoro,abolicao II,Y,105,1.0,8.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,,,,,0,0,0,0,1,N,38,596,596,0
36,38,C,15,0,0,1,M,5,0,0,GO,xxxx,1,GO,Caldas Novas,santa efigenia,Y,69,1.0,,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,5.0,,,0,0,0,0,7,N,69,756,756,0
37,39,C,10,Web,0,1,M,2,1,0,RN,NATAL,1,RN,Natal,Pajucara,Y,105,1.0,7.0,N,1,261.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,1.0,,,0,0,0,0,1,N,60,591,591,0
38,40,C,10,Web,0,1,M,2,0,0,RN,FRANCISCO DANTAS,1,RN,Mossoro,abolicao III,Y,105,1.0,10.0,N,1,830.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,,,,,0,0,0,0,1,N,36,596,596,1
39,41,C,10,0,0,1,F,2,0,0,RJ,XAMBRE,1,SP,Guarulhos,Vila Barros,Y,5,1.0,5.0,N,1,628.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,0.0,0.0,0.0,0.0,0,0,0,0,1,N,41,719,719,0
40,42,C,15,Web,0,1,F,2,0,0,MG,montes claros,1,MG,montes claros,c joaquim costa,Y,39,1.0,,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,9.0,4.0,,,0,0,0,0,7,N,45,394,394,1
41,43,C,10,0,0,1,F,4,1,0,AC,xx,1,PR,CURITIBA,NOVO MUNDO,Y,40,1.0,1.0,N,1,1101.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,11.0,1.0,11.0,,0,0,0,0,1,N,53,810,810,0
42,44,C,10,0,0,1,F,4,0,0,PE,CATENDE,1,PE,Olinda,Casa Caiada,Y,97,1.0,10.0,N,1,2141.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,9.0,1.0,0.0,0.0,0,0,0,0,1,N,79,531,531,0
43,45,C,5,Web,0,1,M,1,0,0,MG,SAO THOME DAS LETRAS,1,MG,SAO THOME DAS LETRAS,CENTRO,N, ,1.0,20.0,N,1,542.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,MG,SAO THOME DASLETRAS,ZONA RURAL,Y,33,0,9.0,2.0,,,0,0,0,0,2,N,31,374,374,0
44,46,C,10,Web,0,1,M,1,0,0,MT,POSTO DOS GAUCHOS,1,MT,TANGARA DA SERRA,JARDIM SAO LUIZ,Y,71,1.0,1.0,N,1,700.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,9.0,2.0,,,0,0,0,0,1,N,22,783,783,0
45,47,C,25,Carga,0,1,F,1,0,0,BA,MARAGOGIPE,1,BA,MARAGOGIPE,COQUEIROS,Y,86,1.0,1.0,N,1,591.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,11.0,5.0,11.0,,0,0,0,0,1,N,37,444,444,0
46,48,C,15,0,0,1,F,1,1,0,BA,LAJE,1,BA,feira de santana,MORADA DO SOL,Y,86,1.0,25.0,N,0,3000.0,0.0,1,0,0,0,0,1,1,150000.0,1,N, ,,,N, ,0,9.0,4.0,0.0,0.0,0,0,0,0,7,N,55,440,440,0
47,49,C,15,Web,0,1,M,2,1,0,RN,NATAL,1,RN,Natal,Lagoa azul,Y,105,1.0,5.0,N,1,550.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,2.0,,,,0,0,0,0,1,N,25,591,591,0
48,50,C,15,Carga,0,1,F,1,1,0,PA,santarem,1,PA,SANTAREM,SANTA CLARA,Y,119,1.0,1.0,N,1,450.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,2.0,11.0,,0,0,0,0,1,N,38,680,680,0
49,51,C,20,0,0,1,M,2,2,0,AL,MACEIO,1,AL,MACEIO,PRADO,Y,100,1.0,9.0,N,1,608.0,0.0,0,1,0,0,0,1,1,0.0,0,Y,AL,MACEIO,TRAPICHE,Y,100,0,9.0,5.0,,,0,0,0,0,1,N,37,570,570,1
50,52,C,5,Web,0,1,F,1,0,0,AP,MACAPA,1,AP,MACAPA,INFRAERO I,Y,123,1.0,6.0,N,1,1458.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,9.0,2.0,,,0,0,0,0,1,N,28,689,689,0
51,53,C,10,Web,0,1,F,1,0,0,BA,itajuipe,1,MT,cuiaba,pedra noventa,Y,71,1.0,15.0,N,1,351.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,4.0,,,0,0,0,0,1,N,67,780,780,0
52,54,C,10,Web,0,1,M,2,0,0,MG,carangola,1,ES,DORES DO RIO PRETO,CIDADE ALTA,Y,27,1.0,0.0,N,1,880.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,ES,dores do rio preto,centro,N, ,0,9.0,2.0,9.0,4.0,0,0,0,0,1,N,21,295,295,0
53,55,C,10,Web,0,1,M,1,0,0,CE,FORTALEZA,1,CE,QUIXADA,ZONA RURAL,Y,112,1.0,10.0,N,1,441.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,12.0,2.0,,,0,0,0,0,1,N,30,639,639,0
54,56,C,15,Web,0,1,M,2,0,0,RS,BAGE,1,RS,Porto Alegre,Protasio alves,Y,54,1.0,8.0,N,1,536.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,PORTO ALEGRE,MARIO QUINTANA,Y,54,0,9.0,2.0,,,0,0,0,0,1,N,50,912,912,1
55,57,C,20,Web,0,1,M,6,0,0,PA,MARABA,1,PA,TUCURUI,NOVA CONQUISTA,Y,120,1.0,3.0,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,4.0,,,0,0,0,0,1,N,21,684,684,0
56,58,C,5,0,0,1,M,2,0,0,RS,CANCUCU,1,RS,Pelotas,Fragata,N, ,1.0,4.0,N,0,1319.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,11.0,1.0,0.0,0.0,0,0,0,0,1,N,61,960,960,0
57,59,C,10,Web,0,1,M,2,0,0,CE,BARBALHA,1,CE,BARBALHA,CIROLANDIA,Y,112,1.0,5.0,N,1,637.56,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,2.0,,,0,0,0,0,1,N,51,631,631,0
58,60,C,15,Web,0,1,M,6,3,0,SP,CAMPINAS,1,SP,FLORIDA PAULISTA,CENTRO,Y,16,2.0,3.0,N,1,900.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,2.0,4.0,,,0,0,0,0,2,N,36,178,178,0
59,61,C,15,Web,0,1,F,2,2,0,GO,RIO VERDE,1,GO,RIO VERDE,SETOR MORADA DO SOL,Y,69,1.0,17.0,N,1,399.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,RIO VERDE,VILA MARIA,Y,69,0,9.0,2.0,,,0,0,0,0,1,N,50,759,759,0
60,62,C,15,Web,0,1,F,2,1,0,PB,campina grande,1,PB,Lagoa Seca,juraci palhano,Y,103,1.0,3.0,N,1,455.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,2.0,4.0,,,0,0,0,0,1,N,25,581,581,0
61,63,C,25,0,0,1,F,1,0,0,PE,LIMOEIRO,1,PE,CARPINA,SENZALA,N, ,1.0,5.0,N,0,422.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,0.0,1.0,0.0,0.0,0,0,0,0,1,N,84,558,558,1
62,64,C,10,0,0,1,F,2,1,0,BA,FEIRA DE SANTANA,1,BA,FEIRA DE SATANA,RUA NOVA,Y,86,1.0,30.0,N,0,1377.0,611.0,0,0,0,0,0,0,0,50000.0,1,Y,BA,FEIRA DE SANTANA,CENTRO,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,7,N,55,440,440,0
63,65,C,10,Web,0,1,F,2,1,0,BA,IRECE,1,GO,INDIARA,SAO SIMAO,N, ,1.0,,N,1,379.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,JANDAIA, ,N, ,0,9.0,2.0,,,0,0,0,0,1,N,42,759,759,0
64,66,C,25,Web,0,1,F,2,4,0,TO,PARANA,1,GO,GOIANIA,JD NOVA ESPERANCA,Y,67,1.0,1.0,N,1,900.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,4.0,,3.0,0,0,0,0,1,N,49,744,744,0
65,67,C,10,Web,0,1,M,2,1,0,SC,tubarao,1,SC,laguna,magalhaes,Y,50,1.0,5.0,N,1,1500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,7.0,2.0,,,0,0,0,0,1,N,43,887,887,0
66,68,C,20,Web,0,1,F,1,0,0,PE,RECIFE,1,PE,CABO,PONTE DOS CARVALHOS,Y,97,1.0,12.0,N,1,300.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,,,,0,0,0,0,1,N,25,545,545,1
67,69,C,10,Web,0,1,F,1,0,0,SP,BEBEDOURO,1,SP,Sao Paulo,Vila ayrosa,Y,5,1.0,1.0,N,1,625.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,5.0,,,0,0,0,0,1,N,44,228,228,0
68,70,C,10,Web,0,1,F,1,0,0,BA,Salvador,1,BA,Salvador,arenoso,Y,81,1.0,30.0,N,1,1374.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,BA,Salvador,Centro administrativo da Bahia,N, ,0,6.0,5.0,,,0,0,0,0,1,N,57,412,412,0
69,71,C,15,Web,0,1,F,7,1,0,RS,pedro osorio,1,RS,pelotas,lot vasco pires,Y,58,1.0,3.0,N,1,334.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,RS,pelotas,centro,Y,58,0,9.0,2.0,,,0,0,0,0,1,N,38,960,960,0
70,72,C,20,Web,0,1,F,1,0,0,RN,Assu,1,RN,Assu,Centro,Y,105,1.0,4.0,N,1,1400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,,,,0,0,0,0,7,N,33,596,596,0
71,73,C,15,Web,0,1,F,4,0,0,AL,UNIAO DOS PALMARES,1,AL,MACEIO,BOM PARTO,Y,100,2.0,,N,1,275.08,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,1.0,,,0,0,0,0,1,N,69,570,570,0
72,74,C,5,Web,0,1,F,4,1,0,MG,SPEDRO FERROS,1,PR,Foz do Iguacu,Conjunto C,Y,46,1.0,5.0,N,1,2204.0,1450.0,0,0,0,0,0,0,0,20000.0,0,N, ,,,Y,46,0,,,,,0,0,0,0,1,N,48,858,858,0
73,75,C,25,Web,0,1,M,6,0,0,BA,piritiba,1,SP,Guarulhos,Cidade Soberana,Y,5,1.0,10.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,2.0,,,0,0,0,0,2,N,34,716,716,0
74,76,C,10,0,0,1,M,1,2,0,RS,PELOTAS,1,RS,PELOTAS,FRAGATA,Y,58,1.0,11.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,9.0,1.0,0.0,0.0,0,0,0,0,1,N,36,960,960,1
75,77,C,10,0,0,1,F,1,1,0,BA,INHAMBUPE,1,BA,SALVADOR,SUSSURANA,Y,81,1.0,14.0,N,1,440.0,0.0,1,1,0,0,0,0,0,0.0,0,Y,BA,SALVADOR,FEDERACAO,Y,81,0,9.0,2.0,,,0,0,0,0,1,N,49,400,400,0
76,78,C,10,Web,0,1,F,1,0,0,SP,CASSIA DOS COQUEIROS,1,SP,Ribeirao Preto,Jardim Piratininga,Y,14,1.0,16.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,4.0,,,0,0,0,0,1,N,55,140,140,0
77,79,C,10,0,0,1,M,1,0,0,PR,fartura,1,SP,Jau,Jardim Nova Jaz,Y,12,1.0,0.0,N,1,490.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,,,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,20,172,172,0
78,80,C,15,0,0,1,F,2,0,0,MS,itapeui,1,SP,Itapeuvi,Vila Santa Rita,Y,5,,,N,1,209.0,0.0,0,0,0,0,0,0,0,0.0,0,N,SP,Sao Paulo,Pinheiros,N, ,0,,,,2.0,0,0,0,0,1,N,37,666,666,0
79,81,C,10,0,0,1,F,2,0,0,AC,sao paulo,1,PA,ITAITUBA,LIBERDADE,Y,119,2.0,,N,1,246.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,,,N, ,0,,,,,0,0,0,0,1,N,69,681,681,0
80,82,C,10,Web,0,1,F,1,0,0,PA,SALINOPOLIS,1,AP,Macapa,Novo Buritizal,Y,123,1.0,20.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,,2.0,,,0,0,0,0,1,N,22,689,689,0
81,83,C,10,Web,0,1,M,1,1,0,SP,SAO PAULO,1,SP,Sao Paulo,Vila Maria alta,Y,5,2.0,7.0,N,1,455.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,SAO PAULO,VILA MARIA BAIXA,Y,5,0,9.0,2.0,,,0,0,0,0,1,N,20,213,213,1
82,84,C,10,Web,0,1,M,2,2,0,SC,SANTO AMARO DA IMPERATRIZ,1,SC,SANTO AMARO DA IMPERATRIZ,NOSSA SENHORA DE LOURDES,Y,50,1.0,37.0,N,1,2500.0,0.0,0,0,0,0,0,1,1,100000.0,1,N, ,,,N, ,0,2.0,4.0,16.0,3.0,0,0,0,0,1,N,38,881,881,0
