Reason_1,Reason_2,Reason_3,Reason_4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day of the week
0,0,1,0,2015-11-12,179,22,40,306.345,22,1,2,0,8,11,3
0,0,0,1,2015-11-19,291,31,40,306.345,25,0,1,1,5,11,3
1,0,0,0,2015-11-02,155,12,34,306.345,25,0,2,0,32,11,0
0,0,0,1,2015-11-09,189,29,33,306.345,25,0,2,2,8,11,0
1,0,0,0,2015-11-16,291,31,40,306.345,25,0,1,1,40,11,0
0,0,0,1,2015-11-18,225,26,28,306.345,24,0,1,2,1,11,2
1,0,0,0,2015-11-20,155,12,34,306.345,25,0,2,0,8,11,4
0,0,0,1,2015-11-18,225,26,28,306.345,24,0,1,2,3,11,2
0,0,1,0,2015-11-25,179,22,40,306.345,22,1,2,0,8,11,2
1,0,0,0,2015-11-20,225,26,28,306.345,24,0,1,2,3,11,4
0,0,0,1,2015-11-27,260,50,36,306.345,23,0,4,0,4,11,4
0,0,0,1,2015-11-02,248,25,47,306.345,32,0,2,1,1,11,0
0,0,0,1,2015-11-10,225,26,28,306.345,24,0,1,2,3,11,1
1,0,0,0,2015-11-11,289,36,33,306.345,30,0,2,1,24,11,2
0,0,0,1,2015-11-26,291,31,40,306.345,25,0,1,1,3,11,3
0,0,0,1,2015-12-01,248,25,47,261.306,32,0,2,1,1,12,1
0,0,1,0,2015-12-01,118,10,37,261.306,28,0,0,0,64,12,1
0,0,0,1,2015-12-02,118,13,50,261.306,31,0,1,0,2,12,2
0,0,0,1,2015-12-02,235,11,37,261.306,29,1,1,1,8,12,2
0,0,0,1,2015-12-03,225,26,28,261.306,24,0,1,2,2,12,3
0,0,0,1,2015-12-04,260,50,36,261.306,23,0,4,0,8,12,4
0,0,1,0,2015-12-08,118,10,37,261.306,28,0,0,0,56,12,1
0,0,0,1,2015-12-09,361,52,28,261.306,27,0,1,4,8,12,2
0,0,0,1,2015-12-10,225,26,28,261.306,24,0,1,2,3,12,3
0,0,0,1,2015-12-11,260,50,36,261.306,23,0,4,0,3,12,4
0,0,0,1,2015-12-15,225,26,28,261.306,24,0,1,2,2,12,1
0,0,0,1,2015-12-16,361,52,28,261.306,27,0,1,4,8,12,2
0,0,0,1,2015-12-11,118,10,37,261.306,28,0,0,0,2,12,4
0,0,1,0,2015-12-18,246,25,41,261.306,23,0,0,0,8,12,4
0,0,0,1,2015-12-18,225,26,28,261.306,24,0,1,2,2,12,4
0,0,0,1,2016-01-06,225,26,28,308.593,24,0,1,2,1,1,2
0,0,1,0,2016-01-04,118,10,37,308.593,28,0,0,0,1,1,0
0,0,0,1,2016-01-05,118,10,37,308.593,28,0,0,0,1,1,1
0,0,1,0,2016-01-05,155,12,34,308.593,25,0,2,0,8,1,1
0,0,0,1,2016-01-06,225,26,28,308.593,24,0,1,2,2,1,2
0,0,0,1,2016-01-07,184,42,27,308.593,21,0,0,0,2,1,3
0,0,0,1,2016-01-07,225,26,28,308.593,24,0,1,2,2,1,3
0,0,0,1,2016-01-08,225,26,28,308.593,24,0,1,2,1,1,4
0,0,0,1,2016-01-11,118,10,37,308.593,28,0,0,0,2,1,0
0,0,0,1,2016-01-12,225,26,28,308.593,24,0,1,2,2,1,1
0,0,0,1,2016-01-12,118,10,37,308.593,28,0,0,0,2,1,1
0,0,0,1,2016-01-13,118,10,37,308.593,28,0,0,0,2,1,2
0,0,0,1,2016-01-14,118,10,37,308.593,28,0,0,0,2,1,3
0,0,0,1,2016-01-15,118,10,37,308.593,28,0,0,0,2,1,4
0,0,0,1,2016-01-11,118,10,37,308.593,28,0,0,0,2,1,0
0,0,0,1,2016-01-12,118,10,37,308.593,28,0,0,0,2,1,1
0,0,1,0,2016-01-12,179,26,30,308.593,19,1,0,0,8,1,1
0,0,1,0,2016-01-12,289,36,33,308.593,30,0,2,1,8,1,1
0,0,0,1,2016-01-13,118,10,37,308.593,28,0,0,0,2,1,2
0,0,0,1,2016-01-21,184,42,27,308.593,21,0,0,0,2,1,3
0,0,0,1,2016-01-28,118,10,37,308.593,28,0,0,0,2,1,3
0,0,0,1,2016-01-25,118,10,37,308.593,28,0,0,0,0,1,0
0,0,0,1,2016-01-26,225,26,28,308.593,24,0,1,2,1,1,1
0,0,0,1,2016-01-28,289,36,33,308.593,30,0,2,1,3,1,3
0,0,0,1,2016-02-05,184,42,27,302.585,21,0,0,0,1,2,4
1,0,0,0,2016-02-03,246,25,41,302.585,23,0,0,0,8,2,2
1,0,0,0,2016-02-10,179,51,38,302.585,31,0,0,0,8,2,2
0,0,0,1,2016-02-11,155,12,34,302.585,25,0,2,0,2,2,3
0,0,0,1,2016-02-11,189,29,33,302.585,25,0,2,2,8,2,3
0,0,0,1,2016-02-12,260,50,36,302.585,23,0,4,0,2,2,4
0,0,0,1,2016-02-12,289,36,33,302.585,30,0,2,1,8,2,4
1,0,0,0,2016-02-08,388,15,50,302.585,24,0,0,0,8,2,0
1,0,0,0,2016-02-09,388,15,50,302.585,24,0,0,0,8,2,1
0,0,0,1,2016-02-15,225,26,28,302.585,24,0,1,2,2,2,0
0,0,0,1,2016-02-09,225,26,28,302.585,24,0,1,2,2,2,1
0,0,0,1,2016-02-16,179,26,30,302.585,19,1,0,0,1,2,1
0,0,0,1,2016-02-23,184,42,27,302.585,21,0,0,0,8,2,1
0,0,0,1,2016-02-25,225,26,28,302.585,24,0,1,2,3,2,3
0,0,1,0,2016-02-15,330,16,28,302.585,25,1,0,0,8,2,0
0,0,0,1,2016-02-16,330,16,28,302.585,25,1,0,0,1,2,1
0,0,0,1,2016-02-17,225,26,28,302.585,24,0,1,2,1,2,2
0,0,1,0,2016-02-25,189,29,33,302.585,25,0,2,2,8,2,3
0,0,0,1,2016-03-01,291,50,32,343.25300000000004,23,0,0,0,2,3,1
0,0,1,0,2016-03-01,260,50,36,343.25300000000004,23,0,4,0,8,3,1
0,0,1,0,2016-03-08,157,27,29,343.25300000000004,22,0,0,0,3,3,1
0,1,0,0,2016-03-15,179,22,40,343.25300000000004,22,1,2,0,8,3,1
0,0,0,1,2016-03-16,291,31,40,343.25300000000004,25,0,1,1,8,3,2
1,0,0,0,2016-03-02,260,50,36,343.25300000000004,23,0,4,0,8,3,2
1,0,0,0,2016-03-03,179,26,30,343.25300000000004,19,1,0,0,8,3,3
1,0,0,0,2016-03-04,248,25,47,343.25300000000004,32,0,2,1,3,3,4
1,0,0,0,2016-03-04,260,50,36,343.25300000000004,23,0,4,0,40,3,4
1,0,0,0,2016-03-07,179,22,40,343.25300000000004,22,1,2,0,40,3,0
1,0,0,0,2016-03-14,155,12,34,343.25300000000004,25,0,2,0,16,3,0
0,0,0,1,2016-03-21,260,50,36,343.25300000000004,23,0,4,0,16,3,0
1,0,0,0,2016-03-22,155,12,34,343.25300000000004,25,0,2,0,8,3,1
1,0,0,0,2016-03-24,289,36,33,343.25300000000004,30,0,2,1,8,3,3
1,0,0,0,2016-03-24,179,22,40,343.25300000000004,22,1,2,0,8,3,3
0,0,0,1,2016-03-25,260,50,36,343.25300000000004,23,0,4,0,4,3,4
0,0,0,1,2016-03-25,225,26,28,343.25300000000004,24,0,1,2,1,3,4
1,0,0,0,2016-03-28,279,5,39,343.25300000000004,24,0,2,0,8,3,0
1,0,0,0,2016-03-29,179,51,38,343.25300000000004,31,0,0,0,24,3,1
0,0,0,1,2016-03-30,225,26,28,343.25300000000004,24,0,1,2,2,3,2
1,0,0,0,2016-03-28,225,26,28,343.25300000000004,24,0,1,2,8,3,0
1,0,0,0,2016-03-28,179,26,30,343.25300000000004,19,1,0,0,1,3,0
1,0,0,0,2016-03-29,225,26,28,343.25300000000004,24,0,1,2,8,3,1
1,0,0,0,2016-03-30,225,26,28,343.25300000000004,24,0,1,2,16,3,2
1,0,0,0,2016-03-30,179,51,38,343.25300000000004,31,0,0,0,3,3,2
1,0,0,0,2016-03-17,279,5,39,343.25300000000004,24,0,2,0,16,3,3
0,0,0,1,2016-03-18,225,26,28,343.25300000000004,24,0,1,2,2,3,4
1,0,0,0,2016-03-25,248,25,47,343.25300000000004,32,0,2,1,3,3,4
0,0,0,1,2016-03-28,225,26,28,343.25300000000004,24,0,1,2,1,3,0
0,0,0,1,2016-04-06,291,31,40,326.452,25,0,1,1,1,4,2
0,0,0,1,2016-04-13,225,26,28,326.452,24,0,1,2,1,4,2
0,0,0,1,2016-04-12,155,12,34,326.452,25,0,2,0,1,4,1
1,0,0,0,2016-04-13,246,25,41,326.452,23,0,0,0,24,4,2
0,0,0,1,2016-04-14,155,12,34,326.452,25,0,2,0,1,4,3
0,0,0,1,2016-04-15,225,26,28,326.452,24,0,1,2,2,4,4
0,0,0,1,2016-04-15,260,50,36,326.452,23,0,4,0,4,4,4
1,0,0,0,2016-04-06,179,51,38,326.452,31,0,0,0,24,4,2
0,0,0,1,2016-04-07,118,13,50,326.452,31,0,1,0,1,4,3
0,0,0,1,2016-04-08,291,31,40,326.452,25,0,1,1,3,4,4
1,0,0,0,2016-04-08,246,25,41,326.452,23,0,0,0,8,4,4
0,0,0,1,2016-04-22,291,31,40,326.452,25,0,1,1,1,4,4
0,0,0,1,2016-04-29,248,25,47,326.452,32,0,2,1,8,4,4
0,0,1,0,2016-04-29,260,50,36,326.452,23,0,4,0,56,4,4
0,0,1,0,2016-04-26,289,36,33,326.452,30,0,2,1,8,4,1
1,0,0,0,2016-04-27,155,12,34,326.452,25,0,2,0,24,4,2
0,0,1,0,2016-04-27,378,49,36,326.452,21,0,2,4,8,4,2
1,0,0,0,2016-04-28,289,36,33,326.452,30,0,2,1,16,4,3
1,0,0,0,2016-04-08,235,11,37,326.452,29,1,1,1,3,4,4
0,0,0,0,2016-04-04,235,29,48,326.452,33,0,1,5,0,4,0
1,0,0,0,2016-05-04,289,36,33,378.884,30,0,2,1,8,5,2
0,0,0,1,2016-05-05,155,12,34,378.884,25,0,2,0,2,5,3
0,0,0,1,2016-05-02,155,12,34,378.884,25,0,2,0,1,5,0
0,0,1,0,2016-05-03,179,51,38,378.884,31,0,0,0,8,5,1
0,0,1,0,2016-05-03,225,26,28,378.884,24,0,1,2,8,5,1
1,0,0,0,2016-05-11,184,42,27,378.884,21,0,0,0,4,5,2
0,0,0,1,2016-05-09,155,12,34,378.884,25,0,2,0,2,5,0
1,0,0,0,2016-05-10,179,51,38,378.884,31,0,0,0,1,5,1
1,0,0,0,2016-05-04,289,36,33,378.884,30,0,2,1,24,5,2
0,0,0,0,2016-05-11,279,5,39,378.884,24,0,2,0,0,5,2
0,0,0,0,2016-05-18,330,16,28,378.884,25,1,0,0,0,5,2
0,0,0,0,2016-05-25,378,49,36,378.884,21,0,2,4,0,5,2
0,0,0,0,2016-05-25,388,15,50,378.884,24,0,0,0,0,5,2
1,0,0,0,2016-05-24,179,51,38,378.884,31,0,0,0,1,5,1
1,0,0,0,2016-05-11,118,13,50,378.884,31,0,1,0,24,5,2
0,0,0,1,2016-05-27,361,52,28,378.884,27,0,1,4,8,5,4
0,0,1,0,2016-06-06,246,25,41,377.55,23,0,0,0,8,6,0
0,0,0,1,2016-06-13,361,52,28,377.55,27,0,1,4,8,6,0
1,0,0,0,2016-06-14,246,25,41,377.55,23,0,0,0,24,6,1
0,0,0,1,2016-06-16,291,31,40,377.55,25,0,1,1,4,6,3
1,0,0,0,2016-06-17,246,25,41,377.55,23,0,0,0,8,6,4
1,0,0,0,2016-06-13,179,51,38,377.55,31,0,0,0,8,6,0
0,0,0,1,2016-06-20,155,12,34,377.55,25,0,2,0,4,6,0
1,0,0,0,2016-06-27,246,25,41,377.55,23,0,0,0,8,6,0
1,0,0,0,2016-06-29,118,13,50,377.55,31,0,1,0,8,6,2
1,0,0,0,2016-06-03,235,11,37,377.55,29,1,1,1,16,6,4
0,0,0,1,2016-06-07,118,13,50,377.55,31,0,1,0,1,6,1
1,0,0,0,2016-06-08,118,13,50,377.55,31,0,1,0,80,6,2
0,0,0,1,2016-06-09,378,49,36,377.55,21,0,2,4,8,6,3
1,0,0,0,2016-06-10,179,51,38,377.55,31,0,0,0,2,6,4
0,0,0,1,2016-06-20,289,48,49,377.55,36,0,0,2,2,6,0
0,0,0,1,2016-06-30,225,26,28,377.55,24,0,1,2,2,6,3
0,0,1,0,2016-07-05,155,12,34,275.312,25,0,2,0,16,7,1
1,0,0,0,2016-07-06,118,13,50,275.312,31,0,1,0,8,7,2
1,0,0,0,2016-07-08,118,10,37,275.312,28,0,0,0,8,7,4
0,0,0,1,2016-07-08,118,10,37,275.312,28,0,0,0,4,7,4
0,0,0,1,2016-07-12,330,16,28,275.312,25,1,0,0,8,7,1
0,0,1,0,2016-07-14,179,26,30,275.312,19,1,0,0,8,7,3
0,0,0,1,2016-07-15,155,12,34,275.312,25,0,2,0,2,7,4
1,0,0,0,2016-07-18,330,16,28,275.312,25,1,0,0,8,7,0
1,0,0,0,2016-07-19,330,16,28,275.312,25,1,0,0,8,7,1
0,0,0,1,2016-07-18,157,27,29,275.312,22,0,0,0,3,7,0
0,0,0,1,2016-07-19,361,52,28,275.312,27,0,1,4,8,7,1
0,0,0,1,2016-07-20,289,36,33,275.312,30,0,2,1,8,7,2
0,0,0,1,2016-07-21,179,51,38,275.312,31,0,0,0,8,7,3
0,0,1,0,2016-07-11,289,36,33,275.312,30,0,2,1,32,7,0
0,0,1,0,2016-07-14,289,36,33,275.312,30,0,2,1,8,7,3
0,0,0,0,2016-07-21,260,50,36,275.312,23,0,4,0,0,7,3
0,0,1,0,2016-08-04,289,36,33,265.615,30,0,2,1,8,8,3
0,0,1,0,2016-08-11,157,27,29,265.615,22,0,0,0,3,8,3
0,0,0,1,2016-08-07,289,36,33,265.615,30,0,2,1,1,8,6
0,0,1,0,2016-08-08,228,14,58,265.615,22,0,2,1,8,8,0
1,0,0,0,2016-08-10,300,26,43,265.615,25,0,2,1,1,8,2
1,0,0,0,2016-08-10,300,26,43,265.615,25,0,2,1,2,8,2
0,0,0,1,2016-08-11,260,50,36,265.615,23,0,4,0,4,8,3
0,0,0,1,2016-08-08,289,36,33,265.615,30,0,2,1,4,8,0
0,0,0,1,2016-08-09,248,25,47,265.615,32,0,2,1,1,8,1
1,0,0,0,2016-08-10,268,11,33,265.615,25,1,0,0,8,8,2
0,0,0,1,2016-08-10,179,26,30,265.615,19,1,0,0,1,8,2
1,0,0,0,2016-08-10,118,13,50,265.615,31,0,1,0,3,8,2
0,0,0,1,2016-08-14,248,25,47,265.615,32,0,2,1,2,8,6
0,0,0,1,2016-08-15,235,11,37,265.615,29,1,1,1,1,8,0
0,0,0,1,2016-08-17,118,13,50,265.615,31,0,1,0,1,8,2
0,0,1,0,2016-08-24,235,11,37,265.615,29,1,1,1,8,8,2
1,0,0,0,2016-08-08,361,52,28,265.615,27,0,1,4,8,8,0
1,0,0,0,2016-08-30,184,42,27,265.615,21,0,0,0,8,8,1
1,0,0,0,2016-09-05,179,51,38,294.217,31,0,0,0,8,9,0
0,0,0,1,2016-09-09,179,51,38,294.217,31,0,0,0,3,9,4
0,0,1,0,2016-09-07,289,36,33,294.217,30,0,2,1,24,9,2
0,0,0,0,2016-09-08,235,20,43,294.217,38,0,1,0,0,9,3
1,0,0,0,2016-09-12,246,25,41,294.217,23,0,0,0,16,9,0
0,0,0,1,2016-09-13,291,31,40,294.217,25,0,1,1,3,9,1
0,0,0,0,2016-09-13,231,35,39,294.217,35,0,2,2,0,9,1
0,0,0,0,2016-09-13,291,50,32,294.217,23,0,0,0,0,9,1
1,0,0,0,2016-09-14,179,51,38,294.217,31,0,0,0,8,9,2
1,0,0,0,2016-09-14,246,25,41,294.217,23,0,0,0,32,9,2
0,0,0,1,2016-09-15,179,51,38,294.217,31,0,0,0,1,9,3
0,0,0,1,2016-09-16,291,31,40,294.217,25,0,1,1,4,9,4
0,0,0,1,2016-09-16,260,50,36,294.217,23,0,4,0,4,9,4
0,0,0,1,2016-09-14,235,20,43,294.217,38,0,1,0,8,9,2
0,0,0,1,2016-09-15,118,13,50,294.217,31,0,1,0,1,9,3
0,0,0,0,2016-09-15,235,20,43,294.217,38,0,1,0,0,9,3
0,0,0,1,2016-09-16,291,31,40,294.217,25,0,1,1,3,9,4
1,0,0,0,2016-09-26,291,31,40,294.217,25,0,1,1,40,9,0
1,0,0,0,2016-09-26,179,51,38,294.217,31,0,0,0,8,9,0
0,0,0,1,2016-10-05,289,36,33,265.017,30,0,2,1,8,10,2
0,0,0,1,2016-10-05,235,11,37,265.017,29,1,1,1,4,10,2
0,0,0,1,2016-10-05,289,36,33,265.017,30,0,2,1,8,10,2
0,0,0,1,2016-10-06,289,36,33,265.017,30,0,2,1,8,10,3
0,0,0,0,2016-10-06,118,13,50,265.017,31,0,1,0,0,10,3
0,0,0,0,2016-10-06,248,25,47,265.017,32,0,2,1,0,10,3
1,0,0,0,2016-10-12,179,26,30,265.017,19,1,0,0,8,10,2
1,0,0,0,2016-10-12,118,10,37,265.017,28,0,0,0,3,10,2
0,0,0,1,2016-10-12,369,17,31,265.017,25,0,3,0,8,10,2
0,0,0,1,2016-10-14,179,51,38,265.017,31,0,0,0,1,10,4
1,0,0,0,2016-10-14,179,26,30,265.017,19,1,0,0,64,10,4
0,0,0,0,2016-10-14,235,20,43,265.017,38,0,1,0,0,10,4
0,0,1,0,2016-10-15,289,36,33,265.017,30,0,2,1,16,10,5
0,0,0,1,2016-10-16,260,50,36,265.017,23,0,4,0,3,10,6
0,0,0,0,2016-10-16,235,20,43,265.017,38,0,1,0,0,10,6
0,0,0,1,2016-10-19,235,20,43,265.017,38,0,1,0,2,10,2
0,0,0,1,2016-10-19,235,20,43,265.017,38,0,1,0,2,10,2
0,0,0,1,2016-10-20,118,13,50,265.017,31,0,1,0,1,10,3
0,0,0,1,2016-10-20,291,31,40,265.017,25,0,1,1,4,10,3
0,0,0,1,2016-10-22,179,26,30,265.017,19,1,0,0,16,10,5
0,0,0,1,2016-10-22,118,13,50,265.017,31,0,1,0,1,10,5
1,0,0,0,2016-10-26,361,52,28,265.017,27,0,1,4,8,10,2
0,0,0,0,2016-10-27,260,50,36,265.017,23,0,4,0,0,10,3
0,0,0,0,2016-10-27,291,31,40,265.017,25,0,1,1,0,10,3
0,0,0,0,2016-10-27,157,27,29,265.017,22,0,0,0,0,10,3
1,0,0,0,2016-10-28,179,26,30,265.017,19,1,0,0,5,10,4
1,0,0,0,2016-10-28,179,26,30,265.017,19,1,0,0,5,10,4
0,0,0,1,2016-10-29,118,13,50,265.017,31,0,1,0,1,10,5
1,0,0,0,2016-11-07,118,10,37,284.031,28,0,0,0,8,11,0
0,0,0,1,2016-11-07,248,25,47,284.031,32,0,2,1,2,11,0
1,0,0,0,2016-11-08,179,51,38,284.031,31,0,0,0,8,11,1
0,0,0,1,2016-11-11,260,50,36,284.031,23,0,4,0,3,11,4
0,0,0,1,2016-11-14,291,31,40,284.031,25,0,1,1,1,11,0
1,0,0,0,2016-11-14,378,49,36,284.031,21,0,2,4,8,11,0
1,0,0,0,2016-11-14,155,12,34,284.031,25,0,2,0,120,11,0
0,0,0,1,2016-11-14,235,20,43,284.031,38,0,1,0,8,11,0
0,0,0,0,2016-11-15,330,16,28,284.031,25,1,0,0,0,11,1
0,0,1,0,2016-11-16,235,11,37,284.031,29,1,1,1,1,11,2
1,0,0,0,2016-11-16,118,10,37,284.031,28,0,0,0,3,11,2
0,0,0,1,2016-11-17,235,11,37,284.031,29,1,1,1,2,11,3
0,0,0,1,2016-11-17,179,51,38,284.031,31,0,0,0,3,11,3
1,0,0,0,2016-11-18,246,25,41,284.031,23,0,0,0,8,11,4
1,0,0,0,2016-11-18,291,31,40,284.031,25,0,1,1,4,11,4
1,0,0,0,2016-11-21,246,25,41,284.031,23,0,0,0,8,11,0
0,0,0,1,2016-11-22,179,51,38,284.031,31,0,0,0,1,11,1
1,0,0,0,2016-11-23,260,50,36,284.031,23,0,4,0,8,11,2
0,1,0,0,2016-11-25,260,50,36,284.031,23,0,4,0,8,11,4
0,0,0,0,2016-11-25,378,49,36,284.031,21,0,2,4,0,11,4
0,0,0,0,2016-11-29,279,5,39,284.031,24,0,2,0,0,11,1
0,0,0,1,2016-11-24,179,51,38,284.031,31,0,0,0,1,11,3
1,0,0,0,2016-12-05,225,26,28,236.62900000000002,24,0,1,2,3,12,0
0,0,0,1,2016-12-05,179,51,38,236.62900000000002,31,0,0,0,2,12,0
0,0,0,1,2016-12-05,179,51,38,236.62900000000002,31,0,0,0,1,12,0
0,0,0,1,2016-12-05,235,11,37,236.62900000000002,29,1,1,1,3,12,0
0,0,0,1,2016-12-06,118,13,50,236.62900000000002,31,0,1,0,1,12,1
0,0,0,1,2016-12-09,260,50,36,236.62900000000002,23,0,4,0,4,12,4
1,0,0,0,2016-12-15,246,25,41,236.62900000000002,23,0,0,0,8,12,3
0,0,0,1,2016-12-15,179,51,38,236.62900000000002,31,0,0,0,1,12,3
0,0,0,1,2016-12-16,179,51,38,236.62900000000002,31,0,0,0,1,12,4
0,0,0,1,2016-12-20,179,26,30,236.62900000000002,19,1,0,0,1,12,1
