id_cliente,compras,recencia,valor
92,2,8.6,117.96
93,4,6.8,255.28
94,1,9.6,549.18
95,1,7.2,157.66
96,2,10.5,266.06
97,3,6.3,61.08
98,7,6,471.06
99,4,9.95,297.61
100,2,8.65,171.04
101,2,11.2,576.8
102,2,9.8,192.39
103,3,8,236.44
104,1,5.8,213.22
105,1,11,63.09
106,4,5.8,163.25
107,1,7.5,315.93
108,1,6.05,228.68
109,3,9,221.32
110,3,7,151.81
111,3,6.4,213.54
112,2,10.6,154.07
113,1,6,282.54
114,3,11.8,145.51
115,1,7.5,131.25
116,1,7,155.44
117,3,6.2,203.69
118,1,8,178.63
119,4,3.5,219.98
120,2,7.5,128.54
121,4,7.1,367.65
122,4,8.9,301.35
123,4,2.8,253.22
124,4,5.2,343.68
125,1,9.4,262.89
126,4,5.5,328.99
127,3,10.4,94.18
128,9,5.1,580.16
129,4,7.9,298.64
130,1,7,215.68
131,1,6,287.94
132,2,11.1,246.85
133,2,6.35,552.28
134,1,9.55,64.85
135,3,6.1,126.82
136,4,11.7,229.27
137,1,6.5,279.19
138,9,6.1,572.09
139,4,5.8,173.3
140,2,6,244.54
141,2,4.3,118.76
142,1,10,150.5
143,1,9.05,74.86
144,4,2.9,188.34
145,1,6,219.61
146,2,8.3,574.86
147,5,10.7,176.18
148,1,7.75,173.24
149,1,6.3,196.39
150,4,10.1,269.54
151,3,10,235.8
152,3,8.5,110.95
153,3,4.7,211.14
154,1,6.6,324.81
155,1,11,255.46
156,3,8,292.43
157,1,9.5,288.91
158,3,8,176.95
159,4,9.1,473.68
160,1,6.1,314.6
161,1,11.2,286.78
162,2,8,184.84
163,1,9.05,75.82
164,3,8.5,305.22
165,4,6.9,543.46
166,2,9,301.42
167,1,10.1,238.58
168,4,6.9,145.41
169,4,5.3,279.75
170,1,9.8,456.43
171,2,8.4,233.16
172,2,8.2,154.67
173,3,7,302.74
174,2,8.5,190.08
175,2,8.2,508.8
176,1,9.1,87.8
177,2,7,277.15
178,1,9,304.67
179,3,4.2,266.65
180,1,10,107.46
181,1,8,271.92
182,1,6.65,276.09
183,2,10.7,370.3
184,2,9.7,107.48
185,4,6.3,406.22
186,4,4.9,320.4
187,1,8,228.86
188,2,7,277.15
189,1,10.5,194.23
190,1,8,219.94
191,2,8,298.58
192,4,8.3,386.87
193,1,6.5,174.59
194,2,6,215.72
195,8,4.8,503.81
196,2,5.6,255.08
197,1,7.8,294.35
198,2,10,271.23
199,1,8.25,268.27
200,4,3.8,169.3
201,3,4.3,128.77
202,4,6.85,472.31
203,1,12,128.17
204,4,7.1,268.69
205,1,9,139.52
206,4,6.2,158.71
207,9,4,626.06
208,8,3,579.99
209,3,6,90.22
210,2,9.9,200.45
211,1,8.6,113.94
212,1,7.9,182.64
213,1,9.2,212.63
214,4,10.2,310.71
215,3,9,146.76
216,4,2.9,313.35
217,1,7,537.59
218,1,6.1,197.61
219,1,6.4,224.39
220,5,5.6,150.08
221,1,7.1,314.56
222,1,7,103.44
223,1,8.4,330.91
224,3,5,309.34
225,3,8,293.52
226,1,10,225.3
227,1,9.5,280.12
228,2,8,90.09
229,4,6.2,147.67
230,3,2.9,216.38
231,3,6.4,186.04
232,1,6.5,232.27
233,3,8.9,310.65
234,2,8,245.74
235,2,10.8,578.4
236,10,2.9,486.95
237,2,8,115.36
238,10,2.8,420.82
239,1,6.5,133.97
240,1,8.3,254.05
241,1,7,156.7
242,2,5.6,251.04
243,1,5,303.18
244,5,6.2,334.2
245,2,8,94.93
246,1,11,252.2
247,1,6.05,225.83
248,2,7.9,102.57
249,3,12,285.97
250,4,5,228.51
251,2,7,166.49
252,1,9,280.46
253,3,8,169.3
254,1,7.5,276.72
255,3,7,79.75
256,4,6.6,212.21
257,1,6.5,64.66
258,1,9,162.89
259,4,10.6,407.16
260,4,10.3,458.94
261,2,6.2,105.66
262,1,6.15,462.9
263,3,6.5,292.84
264,5,7.7,349.17
265,2,6,162.97
266,1,7.25,229.27
267,4,6.35,195.29
268,2,6.2,112.1
269,4,9.35,64.44
270,4,6.3,182.81
271,6,4.5,492.57
272,3,5.3,117.75
273,1,9.3,63
274,1,6.7,285.45
275,1,8.1,219.98
276,4,9.4,164.88
277,1,10.3,196.72
278,3,8.6,117.02
279,2,3.8,290.26
280,1,11.1,220.82
281,1,12,126.28
282,2,6.6,578.75
283,3,6.4,262.04
284,2,9.1,310.95
285,9,3.1,422.11
286,5,2.5,555.49
287,4,7.4,158.89
288,1,7.9,179.51
289,4,10.35,254.48
290,1,11.4,416.98
291,1,8.5,192.71
292,1,10,305.22
293,4,8,282.71
294,1,8.5,291.72
295,4,8.1,542.67
296,3,9.5,515.08
297,1,9.1,428.72
298,4,6.2,137.62
299,1,10,295.35
300,3,7.5,251.36
301,3,11,197.92
302,4,9.9,559.54
303,7,3.3,414.37
304,6,5.7,494.7
305,2,9,232.64
306,2,6,159.1
307,1,11,145.74
308,2,7.15,240.04
309,4,6.55,238.73
310,4,6.55,533.71
311,2,7,271.27
312,1,8.05,286.81
313,2,11.2,107.9
314,1,6.5,186.55
315,3,9,131.78
316,2,6.2,92.96
317,3,8.3,230.02
318,1,9.5,101.94
319,2,5.4,141.13
320,1,7.1,94.8
321,3,6.6,350.06
322,2,10,343.46
323,1,11,258.78
324,2,6.7,503.31
325,1,8,263.41
326,1,10.2,525.79
327,3,4,308.45
328,2,9.4,326.04
329,3,8.7,149.15
330,3,6.85,177.4
331,5,3.7,138.18
332,1,10.2,353.81
333,2,8.5,238.92
334,1,7.1,187.83
335,2,8.3,212.75
336,3,5.3,212.76
337,4,10.6,345.18
338,2,7.3,113.32
339,1,6.75,161.27
340,3,8,79.31
341,4,4.3,292.78
342,3,6.5,70.24
343,2,6.9,348.42
344,2,10.6,577.24
345,1,9.5,145.49
346,1,8.2,150.14
347,3,6.5,192.16
348,3,8.6,290.04
349,9,2.6,457.63
350,3,6.2,554.98
351,1,7.7,252.18
352,1,5.5,190.2
353,3,8.55,102.84
354,4,8.1,269.57
355,5,5.7,237.17
356,1,5.1,74.87
357,3,9,60.86
358,2,8.2,220.69
359,3,7.5,184.47
360,2,8,144.49
361,3,5,217.14
362,6,2.9,332.89
363,1,9,259.19
364,4,10.2,309.79
365,1,12,210.37
366,3,9.9,287.32
367,1,7,254.2
368,1,7,94.06
369,6,3,572.99
370,2,6.6,346.15
371,7,5.3,506.34
372,2,10.1,168.93
373,4,10.35,254.48
374,2,8.8,182.4
375,1,7.1,531.66
376,10,2.9,548.89
377,2,7,295.68
378,1,8,235.03
379,4,8.4,302.89
380,6,6.2,506.25
381,2,5,67.99
382,1,7.7,255.15
383,1,8.2,149.71
384,1,8,94.63
385,1,9.5,159.69
386,1,6.2,68.17
387,2,8.2,86.93
388,3,7,225.48
389,1,8.5,225.32
390,2,8.5,203.94
391,1,11.1,236.8
392,2,6,101.36
393,2,6.4,97.55
394,2,10.25,87.27
395,1,6.2,415.98
396,1,6.5,527.13
397,3,6.5,224.26
398,1,7.3,235
399,2,8.8,306.58
400,1,6.55,233.85
401,1,9,213.48
402,5,5.7,501.7
403,2,9.7,126.43
404,2,6.65,292.9
405,1,3.5,133.98
406,3,9.9,260.4
407,2,6.15,258.89
408,2,9.5,163.71
409,4,7,456.58
410,1,10.9,166.62
411,3,8,286.42
412,3,6,194.46
413,1,7.4,249.14
414,3,9.5,218.2
415,2,7,300.57
416,1,6.5,269.58
417,4,3.9,164.34
418,3,9.5,287.72
419,3,6.85,75.49
420,8,5.7,312.71
421,2,7.2,99.18
422,2,8.8,355.42
423,2,10.7,458.34
424,3,11,273.11
425,1,9.3,102.08
426,3,9.6,73.35
427,1,9,142.06
428,1,12,238.22
429,2,4.2,318.71
430,3,12,75.46
431,1,11.4,399.96
432,2,7.2,554.82
433,1,9.75,108.2
434,2,9.5,276.74
435,4,10.8,135.57
436,3,9,267.02
437,3,10.05,200.81
438,1,7,224.93
439,3,7.9,212.39
440,1,9.7,102.16
441,2,8.8,129.34
442,5,9.7,189.13
443,2,7.6,252.04
444,3,8.8,245.3
445,1,8.1,108.99
446,1,6.3,181.18
447,3,7,301.97
448,2,10,131.71
449,2,11.5,533.12
450,4,8.4,307.52
451,1,7,252.5
452,2,11,204.78
453,2,10,170.33
454,4,10.9,191.69
455,4,9.8,224.54
456,3,7.1,251.58
457,4,7.1,383.73
458,1,11.5,290.14
459,2,7.5,299
460,1,6.5,206.17
461,1,3.9,331.4
462,2,10.1,320.55
463,3,10,215.5
464,1,6.45,414.48
465,3,11,282.48
466,1,6.2,455.97
467,1,8,142.64
468,9,4.6,517.63
469,3,9.8,247.31
470,1,12,311.14
471,2,8.55,286.83
472,2,9.4,213.86
473,1,6.5,251.29
474,1,4.5,243.98
475,3,10,73.23
476,3,9.2,272.14
477,1,8.7,61.17
478,2,7.2,191.69
479,1,6.5,181.25
480,2,6.5,93.26
481,1,6.65,89.07
482,5,5.6,271.07
483,2,5,153.05
484,4,6.5,309.01
485,3,10.3,124.72
486,4,9.9,304.4
487,1,7.2,152.9
488,4,6.9,305.34
489,4,11.9,492.54
490,3,4,259.42
491,1,10.2,220.9
492,2,9.6,319.02
493,1,5,299.74
494,2,5.2,137.69
495,3,10.9,144.66
496,1,8.2,300.95
497,3,9,287.7
498,3,9.05,106.88
499,1,4.3,231.78
500,3,12,278.99
501,1,9.5,96.15
502,1,7.8,291.24
503,3,7.7,219.44
504,2,7.4,298.91
505,4,9.6,138.34
506,4,6.5,516.55
507,1,6,259.03
508,4,6.35,264.46
509,1,9,223.19
510,4,7,301.55
511,4,6.45,578.5
512,4,9.2,186.66
513,1,6.5,221.95
514,3,9.5,132.97
515,2,9.8,130.3
516,2,9.8,176.33
517,3,6.85,177.4
518,1,7,107.43
519,1,7.5,197.93
520,2,7.2,191.69
521,2,6.5,158.89
522,2,7.5,351
523,1,8.85,124.44
524,1,12,224.05
525,4,7.6,305.11
526,4,8.7,197.42
527,2,9.6,109.05
528,1,7.4,106.83
529,1,10.1,286.94
530,1,10,167.14
531,1,6.1,254.81
532,4,11.6,197.3
533,1,9.6,183.95
534,9,5.5,614.54
535,5,3.9,503.95
536,1,6.25,218.24
537,5,4,496.02
538,1,9.5,200.76
539,3,6.9,149.33
540,1,9.8,275.44
541,1,10.4,499.98
542,4,9.9,98.61
543,4,9.7,442.25
544,2,10,145.09
545,1,11,293.19
546,3,7.85,268.4
547,5,10.6,238.11
548,1,9.1,190.58
549,3,7.4,483.03
550,3,10,285.16
551,1,8.75,147.27
552,1,10,273.66
553,2,5.6,98.33
554,2,6.6,529.81
555,1,10.4,125.54
556,6,3,569.04
557,2,8,136.11
558,1,5.6,87.38
559,3,9.05,309.83
560,9,4.5,360.57
561,3,6.5,64.42
562,3,7.25,102.24
563,1,9,133.39
564,7,4.4,369.46
565,2,6.95,288.46
566,3,9.5,131.19
567,1,3.8,202.22
568,5,4.9,593.93
569,1,6,182.43
570,1,10,230.57
571,3,7.5,151.76
572,5,6.3,346.34
573,1,9,184.54
574,1,9.5,250.81
575,2,7.3,210.07
576,1,6.7,250.16
577,1,7,215.28
578,3,9.6,311.02
579,3,8,174.75
580,4,8.5,109.95
581,3,8.9,339.35
582,3,10.1,190.89
583,4,8.85,168.43
584,1,10.25,261.2
585,1,6.5,76.27
586,1,10,253.84
587,1,7.5,119.49
588,3,6.2,164.65
589,3,8.5,127.93
590,3,6.5,185
591,7,4.8,591.87
592,1,11.4,289.19
593,4,7.4,133.87
594,1,9.1,338.59
595,5,10.6,238.11
596,2,8.05,308.86
597,4,8.1,107.56
598,4,6.4,157.57
599,4,6.7,155.16
600,3,10.5,226.08
601,1,4.4,238.9
602,2,9.8,173.56
603,2,11,270.39
604,4,3.6,330.06
605,3,9,66.32
606,3,7,144.49
607,1,10.2,341.63
608,1,10,84.15
609,2,10.15,265.01
610,4,6.2,256.66
611,3,6.2,182.69
612,1,8.4,95.18
613,3,6,146.14
614,2,6.7,323.28
615,5,9.6,193.07
616,1,9,142.06
617,2,10.2,580.77
618,3,6.8,167.24
619,4,7.7,159.47
620,1,7,204.14
621,2,6.4,480.4
622,2,9.8,570.39
623,2,7,230.6
624,1,6.5,102.12
625,4,8.9,207.46
626,1,8.05,214.83
627,1,8.55,171.8
628,1,7.5,112.04
629,9,3.4,503.38
630,1,6.45,542.45
631,8,5.5,639.5
632,2,9.1,184.55
633,4,10,172.71
634,4,8.9,270.52
635,4,10,188.79
636,1,8,357.61
637,4,6.45,532.45
638,1,7.2,491.79
639,1,6,112.49
640,1,6.5,96.2
641,1,9,245.49
642,3,9.2,135.16
643,3,8.55,116.84
644,3,4,304.51
645,2,9.4,143.9
646,2,6.9,556.45
647,1,11.1,522.65
648,4,4.8,208.28
649,1,9.5,170.76
650,1,7,282.03
651,4,10.5,345.94
652,2,8,311.31
653,3,9,234.1
654,2,7,104.95
655,1,7,288.63
656,1,10.4,110.89
657,2,3.9,288.37
658,1,10,281.95
659,2,12,257.02
660,1,5.8,330.24
661,2,9.2,258.79
662,1,7.1,229.54
663,4,10.8,350.44
664,2,9.9,132.59
665,2,6.5,579.08
666,2,10,289.32
667,2,5,119.66
668,1,7,223.87
669,2,9.3,206.75
670,3,8,190.16
671,1,10,126.81
672,1,8,103.18
673,2,7.1,131.52
674,1,8.5,68.8
675,4,6.4,319.86
676,4,7.45,190.62
677,2,4.5,277.92
678,3,7,219.3
679,1,9.9,144.58
680,1,8.5,244.93
681,1,9.2,347.62
682,3,7.5,61.6
683,2,8.8,251.22
684,1,8.9,294.57
685,2,7.1,472.65
686,2,9,316.44
687,4,7.8,396.37
688,3,12,170.98
689,1,11.2,254.97
690,1,5.9,308.61
691,3,6,176.19
692,1,9,182.76
693,1,5,186.28
694,1,8.2,60.97
695,1,9.25,131.2
696,3,10.4,429
697,1,4.9,231.41
698,1,5.5,211.99
699,1,9.1,190.58
700,3,11,124.5
701,2,12,237.9
702,3,8.2,168.93
703,3,5.6,141.03
704,9,6.3,483.31
705,4,4.8,180.23
706,2,7,250.27
707,2,9.8,362.36
708,1,10.5,511.08
709,4,4.5,192.99
710,4,10,132.73
711,2,6.7,354.31
712,10,3.7,581.75
713,3,8.9,131.66
714,3,8.9,347.39
715,1,8.6,191.34
716,1,10,258.51
717,3,8.4,165.18
718,1,9.8,261.24
719,1,9.5,182.37
720,3,7.5,308.21
721,1,10,257.1
722,1,9.7,221.17
723,2,6.3,315.22
724,2,6,137.59
725,3,7,252.09
726,2,5.2,305.64
727,1,7.1,327.82
728,2,6.8,257.29
729,1,9.1,142.81
730,2,7.9,288.63
731,1,9.5,162.14
732,1,9,214.31
733,10,4.3,637.33
734,9,6.3,380.29
735,3,5.1,265.57
736,1,7.05,137.85
737,2,10.5,214.98
738,2,12,108.68
739,2,7.9,277.64
740,1,9.2,267.95
741,4,6.65,361.92
742,4,5.9,164.34
743,2,7.6,152.04
744,3,9.5,106.52
745,3,5,157.98
746,2,10.3,131.33
747,2,8.3,190.73
748,2,8.6,434.23
749,6,3.8,543.81
750,9,4.1,342.13
751,1,5,208.06
752,8,4.7,385.68
753,4,2.6,483.61
754,5,6.4,447.38
755,2,9,250.63
756,3,7,258.24
757,2,4.9,248.39
758,1,8.5,159.09
759,3,7,223.66
760,3,3.2,182.62
761,2,10.5,67.25
762,4,4.5,413.53
763,1,8,308.74
764,4,9.7,557.29
765,2,6.45,347.45
766,2,7.05,277.71
767,4,4.7,271.12
768,3,5.5,141.96
769,1,7.7,248.28
770,1,11,259.46
771,3,9,297.85
772,2,11.6,167.3
773,3,9,150.22
774,1,8,147.39
775,6,6.3,401.32
776,1,7.8,182.28
777,1,8.9,179.49
778,2,7,172.16
779,1,7.5,211.47
780,3,7,107.07
781,1,10.6,235.39
782,3,7,294.11
783,3,10.25,264.25
784,1,6.9,151.38
785,1,8,252.81
786,2,6.75,514.1
787,1,10.5,152.94
788,7,4.8,591.87
789,3,9.85,127.4
790,4,9,287.77
791,2,9.6,307.02
792,1,8.5,64.91
793,3,11.5,189.11
794,2,6.35,395.29
795,2,8.7,565.31
796,1,10.1,232.55
797,1,7.4,112.12
798,4,5.8,215.23
799,2,9,266.06
800,2,8.3,115.81
801,4,9.9,308.57
802,1,11,150.44
803,1,10.3,82.06
804,3,9.4,483.97
805,1,7,135.18
806,4,8.3,224.39
807,5,9.6,313.05
808,3,9,150.22
809,1,11.1,326.73
810,3,7,62.56
811,1,6.5,121.41
812,2,9.5,277.79
813,3,11.5,172.24
814,4,6.15,333.89
815,2,9.8,262.43
816,3,6.5,132.09
817,4,8.4,348.82
818,1,6.5,182.65
819,1,9,290.9
820,3,6.8,165.23
821,1,9,112.86
822,1,7.5,262.45
823,3,10.4,117.53
824,1,6.75,508.1
825,1,8,107.52
826,2,7,73.57
827,1,7.3,267.77
828,1,9.5,170.76
829,3,8.45,218.63
830,1,6.15,73.02
831,3,6,143.25
832,5,6,408.06
833,3,10,106.98
834,8,4.9,586.93
835,1,6.4,338.96
836,2,8.1,237.61
837,2,6,177.8
838,4,5.4,355.83
839,1,9.8,261.24
840,1,6.2,240.98
841,1,10.5,224.93
842,3,8.7,325.19
843,4,5,338.5
844,1,8,231.89
845,4,8,254.47
846,1,6.5,96.2
847,1,10,209.53
848,3,6.05,207.83
849,4,6.1,229.56
850,1,7.4,132.84
851,2,5.3,226.76
852,3,11.1,291.89
853,4,11.1,440.66
854,3,6.1,121.84
855,9,6.4,561.39
856,9,2.9,591.92
857,3,9.6,266.9
858,1,9.7,266.34
859,1,6.15,167.09
860,3,10,246.52
861,2,9.15,280.04
862,3,8,92.77
863,2,2.9,283.41
864,1,6.85,280.33
865,5,7.6,191.11
866,4,9.1,201.71
867,3,6.9,248.35
868,4,8.2,135.67
869,3,7.5,211.26
870,2,4.9,331.38
871,2,7.9,340.46
872,2,5,129.4
873,1,7,175.62
874,3,7.9,346.37
875,1,8.6,199.99
876,1,7.2,245.99
877,1,6,182.33
878,3,8.5,208
879,2,6.6,226.15
880,1,9.5,188.72
881,1,11.6,71.38
882,4,7.6,240.08
883,5,5.6,628.6
884,3,5,117.58
885,6,3,370.07
886,3,7.35,163.41
887,3,10,311.65
888,1,10.2,305.83
889,8,5.5,582.52
890,10,6.1,320.11
891,2,7,179.45
892,4,5.5,325.92
893,4,9.1,221.55
894,1,6.9,197.45
895,1,8.5,214.51
896,2,7,122.98
897,6,2.6,601.62
898,1,10,205.25
899,1,8.5,219.31
900,2,11,296.61
901,1,8.5,213.29
902,2,8.5,304.72
903,4,11,499.6
904,8,6,536.06
905,1,7,152.49
906,3,9,173.78
907,4,10.2,309.79
908,3,9.8,142.24
909,4,3.5,323.5
910,2,8,146.67
911,2,8.5,193.41
912,1,10,87.06
913,3,12,122.38
914,1,6.9,152.52
915,3,10.4,283.19
916,2,8,161.72
917,3,8.2,186.96
918,2,6.5,302.75
919,1,7,155.78
920,1,10.3,174.73
921,5,4.3,361.34
922,2,8,225.29
923,2,9.9,92.55
924,2,6.95,306.5
925,9,4.2,456.19
926,3,9.05,277.84
927,3,7.9,120.66
928,3,9.8,182.57
929,2,7.5,253.26
930,9,5.3,359.3
931,2,9,307.66
932,2,8,115.1
933,1,5.1,123.55
934,2,8,154.44
935,2,9.5,110.93
936,1,7.8,189.43
937,1,11.9,387.53
938,2,10.3,542.91
939,1,5.8,283.24
940,4,7,424.63
941,4,9.95,195.65
942,1,11.9,436.54
943,5,4.1,476.15
944,1,7,280.6
945,4,10.3,140.31
946,3,5.8,154.54
947,1,6.1,119.96
948,3,11.8,351.35
949,1,3.4,186.89
950,3,7.8,209.31
951,4,9.9,106.37
952,1,12,220.43
953,2,6,262.24
954,3,8,124.77
955,1,11,566.55
956,1,7.2,83.99
957,1,10,204.96
958,1,12,179.9
959,3,9.9,159.64
960,3,8.2,103.97
961,1,10.1,291.74
962,1,11.2,435.77
963,3,8.9,294.62
964,2,10.05,175.82
965,1,9.5,184.42
966,1,6.5,257.12
967,3,7.7,142.4
968,2,8.2,223.66
969,1,11.8,388.35
970,1,10,295.24
971,3,10.5,383.1
972,3,11.8,368.4
973,1,4.8,162.26
974,1,7.05,239.84
975,2,12,280.7
976,3,3.7,270.16
977,1,10,241.47
978,2,5.9,104.65
979,3,7,100.25
980,4,10.6,301.08
981,2,3.7,305.2
982,2,10.7,443.28
983,1,3.8,188.29
984,3,7,207.55
985,3,6.25,181.08
986,2,8,216.1
987,1,11,295.35
988,4,7.3,271.72
989,3,10.4,246.88
990,2,6.75,497.08
991,3,8.9,129.37
992,1,8,126.16
993,4,10.45,290.65
994,9,3.1,591.17
995,1,8,110.89
996,1,8,86.36
997,1,10,187.08
998,2,9.5,112.91
999,2,8.5,315.98
1000,3,8.3,199.05
1001,1,11,291.92
1002,2,6.7,68.15
1003,3,8,127.43
1004,2,10.25,184.2
1005,2,9.5,282.06
1006,4,10.1,118.53
1007,7,4.6,341.65
1008,3,7,119.01
1009,3,6.8,231.27
1010,1,3.8,289.23
1011,3,10.5,182.95
1012,1,9.4,541.02
1013,4,9.2,211.66
1014,3,5.7,120.15
1015,1,5.1,280.6
1016,2,8.1,249.72
1017,3,10.3,271.3
1018,4,4.5,118.96
1019,2,7,107.54
1020,3,8,227.81
1021,1,10.1,187.8
1022,1,7.15,561.91
1023,2,8,90.09
1024,3,6,116.58
1025,3,10.1,301.97
1026,4,9.9,141.38
1027,1,10,103.52
1028,2,7.2,156.93
1029,4,11.3,459.91
1030,4,5.9,310.4
1031,3,9.5,152.71
1032,3,10.8,311.56
1033,1,6,299.62
1034,1,8.2,202.15
1035,2,11.3,210.09
1036,4,6.9,241.36
1037,2,6.35,218.34
1038,1,6.2,188.18
1039,1,6.2,386.96
1040,2,10,134.89
1041,5,5.2,384.26
1042,4,3.4,342.83
1043,2,7.8,203.24
1044,4,9,253.62
1045,3,6.4,511.02
1046,3,8.5,178.49
1047,2,10,103.06
1048,1,7,224.93
1049,1,8,256.79
1050,3,7.4,87.16
1051,2,5.4,215.91
1052,5,4.1,476.15
1053,3,9,267.65
1054,1,10,158.16
1055,1,10,103.64
1056,2,9.7,279.41
1057,3,6.5,224.38
1058,1,8,160.51
1059,9,3.2,330.2
1060,2,10,260.39
1061,5,4.6,331.05
1062,4,10.1,315.69
1063,1,10.4,339.84
1064,4,8.9,217.34
1065,3,7.6,296.11
1066,1,10.5,519.14
1067,2,6.1,119.55
1068,1,6,217.15
1069,4,6.2,297.64
1070,4,12,441.58
1071,3,5,81.28
1072,6,4.8,366.85
1073,2,8,188.53
1074,8,5.1,585.13
1075,3,8,122.8
1076,3,10,154.48
1077,9,5.4,582.4
1078,1,12,241.04
1079,1,6.3,325.22
1080,4,5.6,184.3
1081,3,7.55,75.83
1082,1,10,310.88
1083,2,8,77.75
1084,3,5.8,338.31
1085,2,9,146.58
1086,3,4.8,155.24
1087,1,5,235.29
1088,3,6,93.7
1089,2,8.5,188.31
1090,3,7,111.42
1091,2,7.1,455.82
1092,4,11.8,406.37
1093,2,6.6,530.77
1094,1,8.2,163.67
1095,2,7.3,252.81
1096,2,10,307.73
1097,1,8.4,345.83
1098,1,11,91.12
1099,1,11,264.72
1100,2,6.1,291.52
1101,2,9.3,195
1102,1,11.6,70.31
1103,6,5.6,381.61
1104,1,6.5,259.34
1105,2,11.1,301.71
1106,4,8.4,269.85
1107,2,8.3,125.07
1108,1,6,74.64
1109,1,6,249.41
1110,1,9.1,188.83
1111,1,6,179.35
1112,3,7.6,178.95
1113,5,8.7,281.15
1114,2,11.5,184.13
1115,1,7,125.18
1116,3,9,244.34
1117,4,6.5,278.77
1118,1,7.5,145.89
1119,3,10,131.71
1120,1,5.5,116.01
1121,3,6,352.51
1122,1,6.5,214.71
1123,1,9.6,514.16
1124,1,5,166.75
1125,2,10.1,131.57
1126,2,9,141.31
1127,1,6,146.61
1128,4,2.5,509.5
1129,3,11,128.84
1130,2,10,271.23
1131,3,6.8,295.33
1132,9,6,480.01
1133,2,6.4,476.39
1134,9,5.6,325.62
1135,2,6.15,421.92
1136,2,10.9,304.64
1137,1,7,190.77
1138,1,7.5,174.74
1139,1,10,292.89
1140,1,11.8,306.53
1141,5,3.7,294.17
1142,1,3.4,158.87
1143,3,8,104.94
1144,2,8.5,182.26
1145,2,7.9,307.49
1146,2,9.55,95.81
1147,2,6.6,249.8
1148,1,3.1,218.58
1149,3,6.05,87.83
1150,4,8,367.62
1151,2,10,228.63
1152,4,11.3,315.94
1153,2,6.4,275.12
1154,2,8,200.64
1155,1,10,208.58
1156,1,6.5,178.57
1157,7,4.2,461.21
1158,2,12,100.63
1159,5,7.6,219.11
1160,1,7,135.18
1161,1,4.3,182.72
1162,3,9.8,129.29
1163,3,2.9,177.37
1164,9,3.9,537.93
1165,1,7.5,79.15
1166,1,7.5,293.24
1167,1,5,150.23
1168,1,11.8,538.35
1169,6,3.7,519.75
1170,1,9.5,279.41
1171,2,4.6,305.04
1172,1,8,195.47
1173,3,8.3,248.8
1174,2,4.5,157
1175,3,8.45,163.66
1176,1,8.25,176.22
1177,1,8.5,66.43
1178,2,9,215.88
1179,1,6.1,180.81
1180,2,11.6,540.17
1181,1,7.75,78.27
1182,3,9.9,107.36
1183,2,9.5,271.69
1184,3,3.9,317.4
1185,1,7.5,145.72
1186,2,6.5,448.07
1187,4,7.3,264.78
1188,3,11.4,357.96
1189,1,6.8,354.23
1190,2,7,68.62
1191,3,2.8,351.22
1192,4,10,135.76
1193,3,7.1,239.61
1194,3,9,172.79
1195,2,6.6,228.92
1196,1,9.2,338.79
1197,3,10.7,285.4
1198,5,6,408.06
1199,3,9.6,343.02
1200,2,10.7,182.18
1201,7,2.8,404.87
1202,4,11.6,75.35
1203,1,7.5,213.77
1204,2,10.4,349.91
